,dayreturn,price,volumeratio,priorvol,yrHi,yrLo,qHi,qLo,mHi,mLo,VixOpen,Gap,VixDelta,3MoMom,3MoFear,MktBeat
1899,0.17558022199798184,11.65,4.465060030669875,0.02715353137897214,0.700541232744512,1.555407209612817,0.700541232744512,1.2446581196581197,0.9087363494539782,1.2446581196581197,14.64,-0.0051502145922747156,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1901,0.11182108626198084,6.96,2.439168691609943,0.026134980418224887,0.6850393700787402,1.6975609756097563,0.9666666666666667,1.2125435540069687,0.9734265734265733,1.1485148514851486,14.64,0.004310344827586299,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1902,0.07607607607607614,10.75,0.9198055060950554,0.03332935591754646,0.5063589260480452,1.0760760760760761,0.7634943181818182,1.0760760760760761,0.8119335347432024,1.0760760760760761,14.64,0.009302325581395321,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1903,-0.09749645639127902,44.34,5.865801959628288,0.023554591981389313,0.6056549734415377,1.0864983806297874,0.7065009785373162,1.0024869997739092,0.8706067150991558,1.0024869997739092,14.64,0.007893527289129398,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1905,0.07834101382488479,7.02,1.8764028131078856,0.046597084736130764,0.9777158774373259,2.7421874999999996,0.9777158774373259,1.4747899159663864,0.9777158774373259,1.3448275862068966,14.64,0.025641025641025772,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1906,0.08421052631578929,6.18,4.9869821607387905,0.017183932049458128,0.7357142857142857,1.2384769539078155,1.0,1.2310756972111554,1.0,1.1035714285714286,14.64,0.024271844660194164,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1912,0.0786516853932584,4.8,1.6818113884322223,0.01800417376252083,1.0,1.5584415584415583,1.0,1.2698412698412698,1.0,1.2090680100755666,14.64,0.01041666666666674,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1913,0.08626760563380276,6.17,1.7303077426747422,0.046408113988435126,0.3384530992868897,1.234,0.7166085946573751,1.234,0.8764204545454546,1.234,14.64,0.01296596434359798,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1915,-0.07722002632211933,16.73,1.0836512344737084,0.03535066343882764,0.6540265832681783,1.6450344149459195,0.9227799736778807,1.4547826086956521,0.9227799736778807,1.1823321554770319,14.64,0.010161386730424216,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1916,-0.14556962025316456,2.7,0.5560805541538603,0.09260152452811252,0.6013363028953229,2.307692307692308,0.8385093167701864,1.7880794701986755,0.8385093167701864,1.4917127071823204,14.64,0.0,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1917,0.0869033047735619,8.88,1.305321143217681,0.03400768434607259,0.8229842446709918,1.577264653641208,0.900608519269777,1.1871657754010696,0.9126413155190134,1.1871657754010696,14.64,-0.0045045045045045695,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
1918,0.08041729745684068,32.110001000000004,1.8746429002534903,0.01923694272168746,0.8139417030686514,2.0769728978007764,1.0,1.3888408136314527,1.0,1.1629844200295394,14.64,0.014948582530408538,-0.008130081300812941,0.03601764720063638,0.054340569468538824,1
1921,0.08303249097472931,6.0,2.4079601990049753,0.04536107079101543,0.7168458781362008,2.3904382470119523,1.0,1.3333333333333333,1.0,1.3071895424836601,14.64,-0.013333333333333308,-0.008130081300812941,0.03601764720063638,0.054340569468538824,0
