USID,Date,stockid,price,dayreturn,Volume,mHi,mLo,qHi,qLo,yrHi,yrLo
227208,2017-02-23,10630,4.91,0.1498829039812648,2741100,0.5852205005959475,1.1498829039812648,0.5796930342384887,1.1498829039812648,0.3998371335504886,1.4789156626506026
227209,2017-02-24,10630,4.4,-0.10386965376782076,1816500,0.5244338498212158,1.0304449648711946,0.5194805194805194,1.0304449648711946,0.3583061889250815,1.3253012048192774
227210,2017-03-08,10630,3.87,-0.09154929577464777,1139400,0.5045632333767928,1.0,0.45690672963400236,1.0,0.3285229202037352,1.1656626506024097
227211,2017-03-09,10629,14.34,-0.15746180963572265,2512800,0.7368962351950789,1.0,0.5545243405056326,1.0,0.5545243405056326,1.3490122295390403
227212,2017-02-24,10622,17.35,-0.15571772047288168,17936300,0.7904327658117192,1.0,0.7904327658117192,1.0911949685534592,0.7904327658117192,4.6891891891891895
227213,2017-03-09,10622,15.45,-0.10434782608695659,6756700,0.703872405290551,1.0,0.703872405290551,1.0,0.703872405290551,3.495475113122172
227214,2017-02-23,10621,0.39,-0.11363636363636365,549700,0.5342465753424658,1.0,0.23353293413173654,1.0,0.14828897338403044,1.0
227215,2017-02-24,10621,0.25,-0.35897435897435903,3683200,0.3424657534246575,1.0,0.14970059880239522,1.0,0.09505703422053233,1.0
227216,2017-02-27,10621,0.23,-0.07999999999999996,1450100,0.3770491803278689,1.0,0.1419753086419753,1.0,0.08745247148288975,1.0
227217,2017-02-17,10618,20.0,-0.07663896583564178,5479800,0.8861320336730173,1.0116337885685383,0.7328691559960001,1.0116337885685383,,
227218,2017-02-28,10618,22.719998999999998,0.13599994999999998,10071100,1.0,1.1492159332321699,0.868501490825688,1.1492159332321699,,
227219,2017-03-06,10618,21.18,-0.08981521272024062,3896100,0.9101847872797594,1.0713201820940819,0.8411437648927721,1.0713201820940819,,
227220,2017-02-23,10602,25.75,0.1042024013722127,8561700,1.0,1.1651583710407238,1.0,1.2946204773564847,0.8809442353746151,1.2946204773564847
227221,2017-02-23,10593,28.879998999999998,0.07841665129138709,1186800,1.0,1.1060895401727482,1.0,1.2263269735170688,1.0,1.3978702323330106
227222,2017-03-14,10593,33.18,0.10013262599469486,900100,1.0,1.2454955422483311,1.0,1.4089172572788644,1.0,1.569536498085927
227223,2017-02-24,10590,3.32,-0.34774066797642433,1945800,0.6171003717472119,1.0,0.43973509933774835,1.0,0.3777019340159272,1.0
227224,2017-02-27,10590,2.44,-0.2650602409638554,4508500,0.46387832699619774,1.0,0.32317880794701986,1.0,0.2775881683731513,1.0
227225,2017-02-28,10590,2.9,0.18852459016393452,2253500,0.5566218809980806,1.1885245901639345,0.3841059602649007,1.1885245901639345,0.3299203640500569,1.1885245901639345
227226,2017-02-17,10585,28.549999,0.0892789045890463,455700,1.0,1.7303029696969696,1.0,2.469723096885813,1.0,63.44444222222222
