USID,MarketCapitalization,PriceToBook,Beta
45113,253.8502,-31.9869,0.654
29367,69.2835,0.7062,0.0
96625,11.3223,0.9083,0.3609
88683,75.8267,2.9596,0.3872
80094,29.1304,1.445,0.286
77506,63.762,0.7655,1.2675
48578,53.1657,-5.937,-0.002
45214,179.7401,1.2664,1.0251
22007,52.021,1.0837,0.9572
10790,90.5634,4.9123,1.4714
102631,1134.9377,45.2434,1.8558
55575,68.0647,0.7662,0.4768
46526,567.458,2.3224,-0.7717
127337,339.1432,31.811,0.8622
116772,506.9002,5.7453,1.427
115676,1151.2361,11.0364,-0.3023
113994,61.1504,2.8867,0.7807
108036,951.75,12.7391,1.147
100961,57.4948,2.4074,1.4045
100264,56.7413,2.5801,0.3524
102813,4945.3838,6.3445,0.7925
102609,2380.4866,46.0538,1.1233
99105,2959.5401,7.0314,0.8635
98437,212.9404,3.6795,0.5542
98069,793.1748,1.9322,0.8325
81665,1.1532,-0.0598,0.6141
76824,1380.3569,5.8354,1.0579
65985,539.5959,2.5022,1.3278
114039,34.6405,9.9975,1.0847
101961,209.9731,1.6449,0.2078
79466,250.9779,-0.6136,1.3598
71631,223.8473,0.3472,1.2518
68248,117.4133,0.9001,1.4837
63681,715.2576,2.0762,2.353
62842,14.1694,0.5952,-0.3944
122612,19.4456,1.7001,1.0487
106700,165.7344,27.4985,0.9785
79465,200.6444,-0.4906,1.3563
77562,65.4006,0.8074,0.6658
62841,15.675,0.6584,-0.3885
59887,97.6561,0.4489,1.1756
79464,175.8224,-0.4299,1.3623
77561,57.9687,0.7157,0.6663
62840,17.6,0.7393,-0.3781
45661,68.2848,3.3597,1.1455
30070,98.8938,9.4999,0.8382
24848,115.7814,1.2813,0.737
151369,572.959,4.419,0.8589
140322,136.0914,1.8765,1.3108
134733,532.3547,4.1558,1.1271
130978,94.1162,29.5316,0.1211
115127,7.0741,0.4606,0.6317
105827,81.685,1.5436,1.2502
103599,613.1767,4.8618,1.8494
139976,4.4728,0.1986,0.2061
137534,1315.0676,4.2256,0.6154
135260,5.6474,-2.3051,-0.0001
134730,422.6121,2.9927,1.0882
130975,117.0571,36.73,0.1359
122603,10.2361,0.8949,1.1495
119884,273.703,2.2347,1.7716
129170,20.3602,1.5922,-0.0581
128730,898.951,56.0748,1.3672
123249,79.7306,2.5885,-0.1325
122601,6.6127,0.5781,1.1346
107623,26.6475,0.4883,0.6736
107007,49.286,1.9667,0.8157
76156,17.9665,0.331,0.2343
57408,144.4723,42.8943,0.7932
139971,3.3453,0.1485,0.2224
136364,93.3217,1.5977,0.853
130968,78.4302,24.6097,0.1856
127415,506.6269,4.0162,2.7668
122331,37225.9898,306.7096,1.8916
113541,165.5138,9.0272,0.5507
151532,3274.855,352.8541,0.528
151366,440.086,3.0566,0.6383
139966,3.6551,0.1623,0.202
139862,170.6486,7.8411,0.0
139181,149.0297,1.4342,0.9225
138124,226.4399,0.6533,1.6522
136388,388.8628,4.571,1.8014
132780,125.8078,1.1755,0.6281
130959,142.1547,44.6051,0.1223
123283,178.5587,1.6912,3.1838
122897,348.0698,0.8523,0.045
119872,286.0917,2.3359,1.413
156226,213.6758,13.7069,-0.0269
146213,14.5358,-11.2595,0.8507
145951,18.0986,0.7909,1.087
140258,270.8917,1.7438,1.7822
138121,218.288,0.6298,1.5875
134727,476.8775,3.377,0.943
135259,5.3168,-2.1701,-0.0365
134351,51.0408,-1.3855,0.5312
130956,473.9775,155.002,0.738
122587,5.2841,0.462,1.1073
122315,32613.0639,268.7031,1.7597
111135,14.456,1.6323,0.8138
106684,88.0464,11.4643,0.8317
103310,81.2886,1.669,0.9695
103111,10.9793,0.3235,0.025
100983,51.9946,1.3173,1.0472
100328,20.5337,2.0467,1.0561
86103,83.8757,0.8538,0.7334
79433,120.6617,-2.3454,1.375
78529,43.1286,4.8262,0.3553
102684,985.5666,228.5482,1.6175
100327,20.197,2.0132,1.0565
97295,99.8013,3.7135,0.6328
88167,240.0808,22.3497,1.1286
83762,70.6586,0.8053,0.8787
79431,93.0819,-1.8093,1.3456
122302,34517.2235,54.6952,1.8128
107611,41.8,0.766,0.7163
102128,34.7595,234.657,-0.4764
78527,33.9847,3.803,0.3652
73991,3555.2424,-28.5407,1.2811
71245,7.0376,0.7077,1.0455
42267,11.5846,1.106,0.7452
146207,22.1733,-17.1756,0.7655
145948,23.126,1.0106,1.0524
141610,88.6036,1.5109,-0.3441
135253,5.1918,-1.4247,-0.1283
114031,22.4498,5.2068,1.084
111237,117.9085,2.3086,1.0269
103207,58.1376,1.7054,0.599
90679,198.367,-4.7064,1.2328
73989,4705.4679,-37.7745,1.26
62160,49.3469,129.8013,1.629
62159,42.5592,111.947,1.5974
49614,74.8564,2.6158,1.2298
42261,5.1668,0.4933,0.6923
41215,59.8286,2.3836,0.6238
34105,96.6439,1.934,0.1533
18338,25.3582,-1.425,1.4371
116017,864.5789,603.8455,1.0223
98400,727.3423,7.2094,0.0454
93878,17.424,1.0421,-0.2079
88164,247.9349,11.9596,1.2008
80106,17.3704,0.9341,0.3953
73987,5442.5794,-47.1328,1.3294
3833,81.5362,1.0227,0.8723
1866,2803.5934,-96.0482,2.1022
77543,21.5638,0.3096,1.0845
62150,26.9394,5.0112,1.624
49217,433.623,3.0629,1.2282
47389,64.7907,1.1541,1.4489
46444,9.4164,0.9374,2.0693
19573,65.1917,9.9148,0.2087
15721,25.2897,1.6005,0.8254
11377,5.0127,0.541,-0.4257
10803,70.0421,3.6448,0.6114
8416,76.0013,0.3712,1.132
55622,50.6176,0.5331,0.3102
37816,27.4064,1.8192,0.9964
33486,239.9895,8.531,0.5188
26898,24.4213,2.3156,0.0
132490,85.3911,1.1213,1.2124
103306,107.4562,1.946,0.8147
98030,45.2658,2.0043,0.4228
77539,19.2855,0.2769,0.9329
100980,72.6978,1.8919,1.0842
77538,12.2181,0.1754,0.7387
62148,21.1487,3.9341,1.5766
58692,7.3392,0.6335,1.0824
56923,33.6929,0.5955,0.1597
