USID,MarketCapitalization,PriceToBook,Beta
226012,624.7592,5.6284,1.4275
226017,1953.5999,2.3341,1.2161
226021,461.1048,2.2503,1.0341
226032,9.3925,-0.5269,0.0
226043,39.6587,1.7303,2.2118
226119,101.4069,0.6902,0.2299
226130,230.4459,3.5213,-0.4535
226149,25.3491,5.1302,0.8417
226173,566.4427,-2.6693,0.7572
226181,9.2911,1.7711,0.1722
226195,59.4021,3.4,1.1051
226227,85.3172,-267.4467,0.657
226242,40.3759,0.9977,0.3595
226291,54213.8892,10.1829,1.2191
226361,15.1694,11.0311,1.002
226372,1406.6273,1.1449,0.9601
226414,105.4245,1.6859,1.002
226424,13.9488,0.1368,0.111
226438,96.2542,0.6745,0.5685
226450,160.1353,2.1857,0.6694
226479,629.1958,5.0732,2.1822
226486,16.9731,2.4735,0.6487
226535,105.9707,4.2007,0.024
226553,389.0124,0.9991,1.3622
226559,958.5484,4.5623,1.9023
226568,7.8403,0.117,1.1304
226587,633.15,5.9755,1.0011
226600,3869.0516,0.7422,1.6189
226605,37.1198,0.5706,1.244
226609,598.61,1.7321,1.3719
226624,550.762,2.4093,2.0508
226656,0.3256,0.025,1.3267
226684,0.2584,0.0576,0.4511
226736,1227.8769,5.9526,0.9371
226753,17.7992,1.9971,0.3488
226772,23.0948,4.619,-0.027
226780,1040.2329,1.4646,1.7132
226837,67.0452,1.7284,1.1356
226838,1259.9176,4.357,1.2062
226860,9.5669,1.5133,-0.1289
226876,17.4084,0.9674,1.6095
226885,206.6642,1.5103,0.1466
226888,690.6191,3.3309,1.8317
226891,247.4484,1.8857,0.6489
226907,81.236,1.0979,1.9646
226911,170.1296,1.1931,0.6558
226919,47.9735,9.5947,-0.204
226936,55.6785,2.7653,1.2134
227009,7.0883,1.5856,0.4697
227032,632.4363,7.7961,1.2741
227066,3765.9228,4.6447,2.0509
227089,6025.1,11.805,0.9349
227092,162.3654,0.2835,1.6563
227097,1014.0643,1.4794,1.2252
227114,410.3088,-11.9624,2.0231
227208,178.5963,0.1253,1.8577
227214,10.8112,0.28,1.4452
227220,12603.595,3.4175,1.1422
227221,1454.9744,2.1573,1.0217
227229,607.5337,-6.3919,1.1116
