USID,n3r,n5r,ndr,ndv
27088,-0.042910412,-0.016791008,-0.027223231,165800
183633,0.012987013,0.015584416,0.005221932,1118800
17254,0.057773109,0.073529412,-0.056491576,1067800
2699,-0.050414489,-0.053924972,-0.005141628,2483400
186011,0,0.044117647,-0.014492754,346100
218527,-0.000732064,-0.010980966,-0.036671368,817600
135947,0.02698145,0.037099494,-0.046623794,123300
197577,0.009629544,0.059382134,-0.017477018,1831200
125566,-0.026490066,0,0.02027027,132300
212579,0.013228565,-0.005787598,-0.034331259,53800
209367,0.027127661,-0.038829736,-0.077074223,1192100
224824,0.015831135,0.08707124,0.00397351,1652800
116572,0,0.0625,-0.008849558,108200
116122,0.01915033,0.007779833,0.001198202,209500
3297,-0.024855908,-0.007564878,0.04596831,182700
180244,0.012708592,0.003040691,0.009444334,2461800
177102,-0.058103976,-0.012232416,-0.023880597,206200
189619,0.023499126,-0.001886792,-0.026223485,370200
2901,-0.026137065,0.014817884,-0.015799048,399100
218085,-0.063492063,-0.031746032,-0.045454545,278300
19144,0.046928831,0.067143234,0.003195129,1157800
111953,-0.023609246,0.005090771,0.01361047,1342500
125565,0.006756757,0.013513514,0.112781955,184300
156255,-0.090909091,-0.072727273,-0.112903226,1229500
186935,-0.002432276,-0.000423022,-0.011292357,3285800
76076,-0.062874251,-0.002994012,0.010080645,146600
208296,-0.017241379,-0.020689655,-0.016949153,720200
193641,-0.002205017,0.003031974,-0.015468088,850500
27028,0.002251879,0.007621653,-0.014678273,1308500
70228,0.048,-0.024,-0.0234375,1088300
8434,0.010778323,0.015568742,-0.00476758,46300
210904,-0.025839793,-0.055124892,-0.030884808,378400
73553,0.037913618,0.042625142,0.025115057,456900
75225,0.1140625,0.028125,-0.069767442,242300
76366,-0.013420475,-0.003441156,0.002068931,1116300
57197,-0.014663571,-0.042553193,0.014881792,507600
218084,-0.121212121,-0.106060606,-0.142857143,421700
54640,0.008368201,0.018828452,-0.030425963,1469500
186010,-0.139240506,-0.139240506,0.053333333,691800
215918,0.075987842,-0.012158055,-0.020833333,1730500
202441,0.043176972,0.031982996,-0.00530228,1330800
202431,-0.058441558,-0.015584416,0.047619048,1110800
155498,-0.087301587,-0.087301587,-0.045454545,512900
98384,0,-0.054421769,-0.006756757,94200
33747,0.028473803,0.031207242,0.028825968,14681600
201947,-0.092989986,-0.110157368,-0.021008403,780100
183607,0.024761905,0.046666667,0.014492754,420600
