USID,LatestCloseAsPercentOf10DayAverage,LatestCloseAsPercentOf10WeekAverage,LatestCloseAsPercentOf200DayAverage
177316,108.4873,109.3163,108.1676
183227,91.3978,88.8829,119.7103
173729,135.3791,181.5312,128.5617
41388,80.0501,72.7892,67.9643
204478,84.3121,71.4243,44.1428
144181,114.1741,127.0033,110.9816
142629,128.0826,137.0191,173.9142
140617,107.758,112.9857,118.2494
161119,110.0917,125.7761,152.3004
223398,109.3407,114.0344,121.7794
109160,87.4839,95.382,82.0175
85,94.0486,115.2195,165.29
58057,92.0104,91.2053,98.2921
219521,100.4043,115.499,116.4637
182257,104.7538,105.7339,118.0414
88716,84.4482,88.0341,64.9378
185924,111.3882,125.0812,170.2452
86092,109.5327,117.4008,98.5705
27694,113.0952,113.7498,120.5255
84,116.1924,143.8561,205.6673
19566,117.8835,130.9609,155.0224
32224,120.2109,130.3412,129.1022
190958,105.5251,105.4979,117.0037
219520,92.3483,105.7953,106.0083
58056,99.6368,99.8049,107.6014
204659,71.2988,62.8355,72.6189
210903,111.276,127.1153,139.2398
220775,109.8227,112.0497,138.253
157117,128.2051,113.2576,105.71
128412,119.3321,137.0011,186.8261
46932,88.193,90.1206,98.8186
175590,98.1619,101.0807,87.1926
108325,150.2016,151.5628,140.5566
197976,109.0794,107.7004,111.2177
166386,96.6762,83.7927,79.3767
185343,103.9658,94.6123,89.1934
208929,86.8891,84.4867,78.9144
63662,87.4079,84.5084,88.339
171592,90.7607,85.5601,120.8092
168749,92.1786,88.7765,66.2669
115743,89.3997,91.8338,101.8975
2565,91.9635,90.0582,116.9575
223392,89.2185,92.9077,111.718
164559,122.648,123.2503,178.6823
151769,133.8215,144.3152,142.248
103130,122.3682,126.695,220.7514
102886,90.5419,98.0974,130.1268
64726,92.0858,82.486,81.6246
134770,85.2897,94.0373,82.595
60977,95.0873,95.3693,89.7809
119176,76.1009,70.1458,78.3609
103587,106.3596,99.8592,87.9813
223852,114.6928,111.8133,82.8246
123947,129.799,129.5055,112.6666
208105,117.3738,109.5645,100.7186
388,84.2491,84.9843,102.5992
181674,110.9246,111.1408,75.6365
204179,81.3008,69.5376,65.3404
181999,112.5901,113.6374,97.3028
160034,115.8478,130.8314,216.3852
19565,112.117,123.1007,142.4363
176658,106.4502,95.4315,99.3596
224173,104.7545,92.5011,110.7425
205617,91.9275,92.4888,82.4055
36381,121.8837,126.2901,88.3667
201493,106.4697,106.517,131.7199
173728,150.6849,170.5801,111.4568
186195,122.2669,131.8327,142.751
111274,109.7122,108.7385,131.1104
197430,113.0769,117.6601,113.5933
89259,70.8714,70.1048,75.6868
83773,116.0221,132.0372,146.3985
186453,82.9054,81.6135,91.1857
95044,113.4301,90.4264,70.9937
179545,79.2839,72.5598,57.8353
142628,124.011,122.8229,152.6212
91929,111.2758,117.4299,120.6047
206957,99.4403,117.8583,137.1156
137677,113.2351,137.091,217.0321
61248,102.524,117.0474,128.93
142627,114.7477,111.6277,137.6607
214993,115.7052,124.2307,127.4592
92936,88.9703,97.4335,116.9216
18423,118.9633,122.5592,113.7701
164558,125.8641,122.5325,176.7672
204178,71.8124,63.1615,60.0622
179379,79.7025,76.7137,67.9758
89258,78.2375,79.9794,86.6718
112291,92.5838,90.2253,112.3377
36380,113.6691,114.1408,79.198
218983,91.314,87.7105,98.0873
734,112.0241,118.7411,89.5594
179593,108.6957,113.8155,128.8106
59465,93.7302,88.4537,74.9344
176769,113.9883,107.5991,102.391
119175,77.9339,79.5451,87.6875
168748,100.9841,97.0486,71.1197
82256,125.3731,134.3086,158.9054
194968,106.709,111.8416,129.126
64709,94.1314,93.5624,62.2118
19288,95.2161,96.0197,106.737
208295,87.3149,88.7945,93.9204
83732,115.4015,107.3003,116.7151
204177,78.3396,71.0494,68.3873
89257,86.3965,90.5366,98.3132
27076,99.815,104.1551,109.2631
109770,94.5307,88.7565,99.3407
155497,113.2812,116.5206,141.213
214386,100,100,100
181230,98.5676,102.776,96.2644
157903,98.4398,88.3117,79.7692
60663,103.6765,108.3535,121.4577
218982,79.1757,78.1335,87.4168
8212,109.7815,111.5912,122.9879
170550,94.8535,84.8782,74.4448
119174,82.0332,86.7524,95.3854
117996,108.343,123.3544,170.4649
154586,112.1743,97.1834,127.3243
25956,77.3383,71.436,57.0196
68148,109.9244,101.4334,140.5607
63726,81.8918,81.715,103.6487
58055,108.4719,111.7019,117.8449
100789,112.9683,116.7418,145.4505
91928,108.4039,112.7978,114.5224
179544,89.372,84.9121,68.4602
95043,100.1773,82.3539,63.4593
24608,117.8268,104.0906,120.3888
96864,121.1241,124.4713,110.2966
124684,102.2828,103.0505,111.9247
208104,109.2273,96.335,89.5348
140068,100.2192,101.2863,100.9108
143408,96.9456,58.7903,21.8791
83,112.8141,134.1676,185.6784
4311,90.6864,95.1572,94.35
219283,106.8324,111.1962,100.3245
219519,110.7891,121.2501,115.7176
106893,106.4788,109.1705,137.3478
220730,113.6364,119.2423,92.7182
82908,81.5661,83.0976,81.4329
175701,120.0023,125.0499,111.9112
175084,92.2607,93.7546,99.1552
49633,106.8676,107.0815,125.0014
178117,111.5187,113.8479,105.813
128411,117.868,121.1918,163.9325
152470,94.9813,110.2262,153.354
175577,96.1945,96.4525,76.2991
46605,118.737,130.6063,164.493
185672,109.9499,109.3418,75.2621
157224,87.2194,88.474,101.7473
113527,123.6419,120.271,131.7566
163466,94.3312,94.6115,94.4977
60976,120.2897,113.8395,104.8537
171699,97.5443,81.3714,88.8438
108046,103.3058,104.4791,124.3342
137676,112.0388,135.5859,210.4399
113111,114.1262,111.995,170.4137
143407,83.3333,51.3201,20.0128
155496,107.9208,110.0064,133.6564
209639,96.5002,104.8926,97.606
9903,114.0703,118.4814,164.2256
90346,107.9404,114.4523,89.5744
