symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
VNCE,Vince Holding Corp.,2.95,145792020.8,n/a,2013,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/vnce,2979
VIPS,Vipshop Holdings Limited,11.53,6803272868.05,n/a,2012,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/vips,2980
ZTR,Virtus Global Dividend & Income Fund Inc.,11.36,291702818.4,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/ztr,2981
VGI,Virtus Global Multi-Sector Income Fund,16.04,180533985.44,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/vgi,2982
DCA,Virtus Total Return Fund,4.55,124970795.95,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/dca,2983
V,Visa Inc.,86.08,175780191670.4,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/v,2984
VSH,"Vishay Intertechnology, Inc.",16.75,2445076828,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/vsh,2985
VPG,"Vishay Precision Group, Inc.",16.6,218990569.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/vpg,2986
VSTO,Vista Outdoor Inc.,26.18,1539629699.3,n/a,2015,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/vsto,2987
VC,Visteon Corporation,89.69,3050610812.39,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/vc,2988
VSI,"Vitamin Shoppe, Inc",22.7,540634958.6,n/a,2009,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/vsi,2989
VSLR,"Vivint Solar, Inc.",3.1,341375881.2,n/a,2014,Capital Goods,Building Products,http://www.nasdaq.com/symbol/vslr,2990
VMW,"Vmware, Inc.",88.95,36608785915.5,n/a,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/vmw,2991
VOC,VOC Energy Trust,3.57,60690000,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/voc,2992
VCRA,"Vocera Communications, Inc.",21.07,576336959.73,n/a,2012,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/vcra,2993
VG,Vonage Holdings Corp.,6.88,1499546389.12,n/a,2006,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vg,2994
VNO,Vornado Realty Trust,104.85,19816045434.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/vno,2995
VNO^G,Vornado Realty Trust,25.61,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vno^g,2996
VNO^I,Vornado Realty Trust,25.4492,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vno^i,2997
VNO^K,Vornado Realty Trust,24.555,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vno^k,2998
VNO^L,Vornado Realty Trust,23.48,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vno^l,2999
VJET,voxeljet AG,3.33,61938000,n/a,2013,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/vjet,3000
IAE,Voya Asia Pacific High Dividend Equity Income Fund,9.31,115867372.25,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/iae,3001
IHD,Voya Emerging Markets High Income Dividend Equity Fund,8.15,159249524.85,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/ihd,3002
VOYA,"Voya Financial, Inc.",41.14,8006733117.68,n/a,2013,Finance,Life Insurance,http://www.nasdaq.com/symbol/voya,3003
IGA,Voya Global Advantage and Premium Opportunity Fund,10.13,185921684.36,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/iga,3004
