symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
DJCO,Daily Journal Corp. (S.C.),217.78,300698863.88,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/djco,774
DAKT,"Daktronics, Inc.",10.17,447779699.73,n/a,1994,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/dakt,775
DRIO,DarioHealth Corp.,4.1212,23545994.0196,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/drio,776
DRIOW,DarioHealth Corp.,0.875,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/driow,777
DZSI,"DASAN Zhone Solutions, Inc.",0.863,70657130.824,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/dzsi,778
DAIO,Data I/O Corporation,4.725,37764061.65,n/a,1981,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/daio,779
DRAM,Dataram Corporation,1.47,5941910.52,n/a,n/a,Technology,Electronic Components,http://www.nasdaq.com/symbol/dram,780
DWCH,Datawatch Corporation,7.5,89428395,n/a,1992,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/dwch,781
PLAY,"Dave & Buster&#39;s Entertainment, Inc.",53.66,2256465191.94,n/a,2014,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/play,782
DTEA,DAVIDsTEA Inc.,6.6,165132059.4,n/a,2015,Consumer Non-Durables,Food Chains,http://www.nasdaq.com/symbol/dtea,783
DFNL,Davis Select Financial ETF,20.41,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfnl,784
DUSA,Davis Select U.S. Equity ETF,20.17,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dusa,785
DWLD,Davis Select Worldwide ETF,20.26,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dwld,786
